X,causal
The system as described above has its greatest application in an arrayed configuration of antenna elements.,False
The child was carefully wrapped and bound into the cradle by means of a cord.,False
The author of a keygen uses a disassembler to look at the raw assembly code.,False
A misty ridge uprises from the surge.,False
The student association is the voice of the undergraduate student population of the State University of New York at Buffalo.,False
This is the sprawling complex that is Peru's largest producer of silver.,False
The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.,True
People have been moving back into downtown.,False
The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces.,False
The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial.,False
The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel's scholarly career.,False
Their composer has sunk into oblivion.,False
The Pulitzer Committee issues an official citation explaining the reasons for the award.,False
The burst has been caused by water hammer pressure.,True
Even commercial networks have moved into high-definition broadcast.,False
It was a friendly call to remind them about the bill and make sure they have a copy of the invoice.,False
"Texas-born virtuoso finds harmony, sophistication in Appalachian instrument.",False
"The factory's products have included flower pots, Finnish rooster-whistles, pans, trays, tea pots, ash trays and air moisturisers.",False
The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley.,False
"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a battalion of Panzer grenadiers.",False
"Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.",False
She soon had a stable of her own rescued hounds.,False
"The singer, who performed three of the nominated songs, also caused a commotion on the red carpet.",True
His intellectually engaging books and essays remain pertinent to illuminating contemporary history.,False
"Poor hygiene controls, reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.",False
"This sweet dress is made with a blend of cotton and silk, and the crochet flower necklace is the perfect accessory.",False
"Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.",True
"This article gives details on 2004 in music in the United Kingdom, including the official charts from that year.",False
We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history.,False
"The timer of the device automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets.",False
Bob Parks made a similar offer in a phone call made earlier this week.,False
He had chest pains and headaches from mold in the bedrooms.,True
The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the country's founding father.,False
It describes a method for loading a horizontal stack of containers into a carton.,False
The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond.,False
The technology is available to produce and transmit electricity economically from OTEC systems.,False
The Medicare buy-in plan ran into Senate resistance.,False
"The provinces are divided into counties (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).",False
Financial stress is one of the main causes of divorce.,True
Newspapers swap content via widgets with the help of the newsgator service.,False
The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.,True
The transmitter was discovered inside a bed settee suite on which he had been sitting.,False
The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.,False
"A St. Paul College student was released from jail Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.",False
Calluses are caused by improperly fitting shoes or by a skin abnormality.,True
Adults use drugs for this purpose.,False
The councilor proposed assessing infinitival complements through elicitation.,False
"As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle.",True
The following information appeared in the notes to consolidated financial statements of some corporate annual reports.,False
HipHop appropriates the symbols of a consumer society: oversized diamond colliers are worn.,False
The radiation from the atomic bomb explosion is a typical acute radiation.,True
The ride-on boat tiller was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.,False
A neoplastic recurrence arose from an extensive radiation induced ulceration.,True
He has a tattoo on his right arm and scars from stitches on his right elbow.,True
"Whether your home includes a charm of finches, a sute of bloodhounds, or a knob of toads, I think it's important to keep the numbers within reason.",False
"Furthermore, these INGO practitioners constructed a discourse around participation which distorted the real significance of participation.",False
Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha.,False
Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession.,False
This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing.,False
My major disagreement with Lyons concerns the causal part of his theory.,False
Both his feet have been moving into the ball.,False
"The scissors were in a small plastic soap container, next to a bar of soap, and the box cutters were in a box next to a bottle of after-shave lotion.",False
"A great wing of fluorite dragons, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.",False
"As a control, cowpea was sealed in double bags without fumigant.",False
The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho.,False
